utterance,context,predicted_maxim,predicted_violation_type,confidence,gold_maxim,gold_violation_type
The weather is nice today.,Why were you late to the meeting?,Quantity,flouting,0.355,,
Have you tried the new coffee place?,Did you finish the report?,Quantity,flouting,0.593,,
My cat did the funniest thing yesterday.,Can we talk about the budget?,Quantity,flouting,0.445,,
I hear it might rain tomorrow.,Are you going to apologize?,Quantity,flouting,0.370,,
That's a nice shirt.,Did you read my email?,Quantity,flouting,0.412,,
How about those playoffs?,We need to discuss your performance review.,Quantity,flouting,0.438,,
I'm thinking about getting a new plant.,When are you going to pay me back?,Quantity,flouting,0.495,,
Some students passed.,Did everyone pass the exam?,Quantity,flouting,0.479,,
I've been to a country or two.,Have you traveled much?,Quantity,flouting,0.447,,
She's not the worst singer.,What did you think of her performance?,Quantity,flouting,0.448,,
"Well, where do I even begin. So first I woke up at 6:47, not 6:45 like usual, and then I brushed my teeth for exactly two minutes...",How was your morning?,Manner,flouting,0.441,,
He has a pulse.,How's the new intern doing?,Cooperative,none,0.765,,
There were some issues.,How did the deployment go?,Quantity,flouting,0.490,,
"Oh sure, I LOVE waiting in line for three hours.",How do you feel about the DMV?,Quantity,flouting,0.327,,
I've told you a million times.,Can you remind me of the password?,Quantity,flouting,0.398,,
He's a real Einstein.,What do you think of the new hire?,Cooperative,none,0.625,,
My heart literally exploded.,How was the concert?,Cooperative,none,0.396,,
Yeah and I'm the Queen of England.,I finished the entire project last night.,Quantity,flouting,0.419,,
That went well.,The presentation crashed halfway through and the client left.,Quantity,flouting,0.428,,
The capital of Australia is Sydney.,What's the capital of Australia?,Quantity,flouting,0.469,,
I'm pretty sure the meeting is at 3.,When is the meeting? It's at 2.,Quantity,flouting,0.363,,
That word means happy.,What does 'lugubrious' mean?,Quantity,flouting,0.591,,
I may or may not have potentially been in a situation where something could have occurred.,What happened?,Quantity,flouting,0.644,,
The thing with the stuff at the place.,What are you talking about?,Relation,flouting,0.408,,
"First I did step 3, then step 1, then I went back to step 2.",How did you assemble the shelf?,Quantity,flouting,0.407,,
She performed a series of bilateral contractions of the orbicularis oculi muscles.,What did she do?,Quantity,flouting,0.450,,
It's not not possible that it's not untrue.,Is this correct?,Quality,flouting,0.448,,
The meeting is at 3pm in room 204.,When and where is the meeting?,Quantity,flouting,0.503,,
I finished the report and sent it to Sarah.,What did you do today?,Quantity,flouting,0.457,,
"Yes, I'll be there.",Can you make it to dinner tonight?,Quantity,flouting,0.412,,
It costs forty-five dollars.,How much is it?,Quantity,flouting,0.486,,
I left them on the kitchen counter.,Have you seen my keys?,Quantity,flouting,0.421,,
"No, I haven't heard from her since Tuesday.",Have you talked to Maria?,Quantity,flouting,0.316,,
The train arrives at 5:15.,When does the train get here?,Quantity,flouting,0.462,,
